index,Title,Abstract,Author,Citation
10,User's contribution to radical innovation:evidence from four cases in the field of medical equipement technology,"This paper focuses on contributions of users in early phases of radical innovation projects. In a multiple case study analysis in the field of medical equipment technology, we identify characteristics of users who contribute substantially to the development of radical innovations by being their inventors and (co)-developers. These innovative users have high motivation to seek new solutions, possess a diverse set of competencies, and are embedded in a supportive environment. We furthermore observe that they play an entrepreneurial role as they establish and organize the required innovation networks. These innovation networks are needed to transform the users' radically new concepts into first physical prototypes and marketable products. The study highlights how manufacturing firms can benefit from innovative and entrepreneurial users in the early phases of radical innovation projects.","Christopher Lettl, Cornelius Herstatt,Hans Georg Gemuenden",670
11,Medical Review Registration,"This paper presents a review of automated image registration methodologies that have been used in the medical field. The aim of this paper is to be an introduction to the field, provide knowledge on the work that has been developed and to be a suitable reference for those who are looking for registration methods for a specific application. The registration methodologies under review are classified into intensity or feature based. The main steps of these methodologies, the common geometric transformations, the similarity measures and accuracy assessment techniques are introduced and described.","P.M.Oliveira, Joao Manuel R.S Tavares",723
12,Development and evaluation of a rapid CRISPR-based diagnostic for COVID-19,"The recent outbreak of human infections caused by SARS-CoV-2, the third zoonotic coronavirus has raised great public health concern globally. Rapid and accurate diagnosis of this novel pathogen posts great challenges not only clinically but also technologically. Metagenomic next-generation sequencing (mNGS) and reverse-transcription PCR (RT-PCR) have been the most commonly used molecular methodologies. However, each has their own limitations. In this study, we developed an isothermal, CRISPR-based diagnostic for COVID-19 with near single-copy sensitivity. The diagnostic performances of all three technology platforms were also compared. Our study aimed to provide more insights into the molecular detection of SARS-CoV-2, and also to present a novel diagnostic option for this new emerging virus.","Tieying Hou,Weiqi Zeng,Minling Yang, Wenjing Chan, Lili Ren,Jingwen Ai, Ji Wu, Yalong Liao ,Xuejing Gou , Yongjun Li, Xiaouri Wang,Hang Su",145
13,A REVIEW PAPER ON A DESIGN AND ANALYSIS OF CYCLONE SEPARATOR FOR HIGH EFFICIENCY BY USING CFD ANALYSIS,"A review of the literature was undertaken to discover recent particulate control technology developments in other industries that may benefit the flour mill. In these researches we can design compact and Economic a cyclone separator for satisfy primary benefits like high efficiency, reduce pressure-drop etc. In the review paper we can change the geometry of cone section for develop high efficiency and low pressure drop. In these review paper are developed of cyclone separator with circular cone section in same capacity of vertical cone cyclone separator. We give comparisons for two cyclone for using experiment method and optimization by computerize analysis (CFD)","Harsh Patel,Ankit Darji",50
14,Low cycle fatigue study of lead free 99.3Sn–0.7Cu solder alloy,"In this paper, low cycle fatigue studies on 99.3Sn–0.7Cu lead free solder was evaluated over a range of test temperatures (298, 348 and 398 K) and frequencies (10−3–1 Hz), tested at four values of total strain range (2, 3.5, 5 and 7.5%). The fatigue performance of lead free 99.3Sn–0.7Cu solder was compared to 63Sn–37Pb solder. The effects of temperature and frequency on the low cycle fatigue life were discussed and were presented in Coffin–Manson and Morrow model relationships. Frequency modified Coffin–Manson and Morrow models were proposed for predicting the effect of frequency on low cycle fatigue life of 99.3Sn–0.7Cu solder alloy.","B.S.Xiong,T.H.Low",120
15,Blockchain challenges and opportunities: a survey,"Blockchain has numerous benefits such as decentralisation, persistency, anonymity and auditability. There is a wide spectrum of blockchain applications ranging from cryptocurrency, financial services, risk management, internet of things (IoT) to public and social services. Although a number of studies focus on using the blockchain technology in various application aspects, there is no comprehensive survey on the blockchain technology in both technological and application perspectives. To fill this gap, we conduct a comprehensive survey on the blockchain technology. In particular, this paper gives the blockchain taxonomy, introduces typical blockchain consensus algorithms, reviews blockchain applications and discusses technical challenges as well as recent advances in tackling the challenges. Moreover, this paper also points out the future directions in the blockchain technology.","Zibin Zheng, Shaoan Xie,Xianping Chen,Hong-Ning Dai,Huaimin Wang",2237
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
